# Strain Tracker Export
# generated: 2026-05-21T13:10:11.861Z
# fps: 120
# video_size_px: 1280x720
# calibration: 9.629723 px per mm
# calibration_points_px: (311.780,304.734) - (985.835,298.862)
# calibration_real_distance: 70 mm
# template_size_px: 40
# search_radius_px: 25
#
frame,time_s,x_px,y_px,x_mm,y_mm,dx_mm,dy_mm,match_score
0,0.000000,356.0000,352.0000,36.968872,36.553491,0.000000,0.000000,1.0000
1,0.008333,356.0032,351.9915,36.969201,36.552604,0.000329,-0.000888,1.0000
2,0.016667,356.0032,351.9915,36.969201,36.552604,0.000329,-0.000888,1.0000
3,0.025000,356.0032,351.9915,36.969201,36.552604,0.000329,-0.000888,1.0000
4,0.033333,355.9483,352.1454,36.963508,36.568585,-0.005364,0.015094,0.9994
5,0.041667,355.9483,352.1454,36.963508,36.568585,-0.005364,0.015094,0.9994
6,0.050000,355.9483,352.1454,36.963508,36.568585,-0.005364,0.015094,0.9994
7,0.058333,355.9483,352.1454,36.963508,36.568585,-0.005364,0.015094,0.9994
8,0.066667,355.9509,352.2327,36.963768,36.577657,-0.005103,0.024166,0.9988
9,0.075000,355.9509,352.2327,36.963768,36.577657,-0.005103,0.024166,0.9988
10,0.083333,355.9509,352.2327,36.963768,36.577657,-0.005103,0.024166,0.9988
11,0.091667,355.9509,352.2327,36.963768,36.577657,-0.005103,0.024166,0.9988
12,0.100000,355.9186,352.3075,36.960414,36.585421,-0.008458,0.031930,0.9983
13,0.108333,355.9186,352.3075,36.960414,36.585421,-0.008458,0.031930,0.9983
14,0.116667,355.9186,352.3075,36.960414,36.585421,-0.008458,0.031930,0.9983
15,0.125000,355.9186,352.3075,36.960414,36.585421,-0.008458,0.031930,0.9983
16,0.133333,355.9678,352.5398,36.965527,36.609546,-0.003345,0.056055,0.9963
17,0.141667,355.9678,352.5398,36.965527,36.609546,-0.003345,0.056055,0.9963
18,0.150000,355.9678,352.5398,36.965527,36.609546,-0.003345,0.056055,0.9963
19,0.158333,355.9678,352.5398,36.965527,36.609546,-0.003345,0.056055,0.9963
20,0.166667,355.9644,352.5409,36.965171,36.609662,-0.003701,0.056170,0.9957
21,0.175000,355.9644,352.5409,36.965171,36.609662,-0.003701,0.056170,0.9957
22,0.183333,355.9644,352.5409,36.965171,36.609662,-0.003701,0.056170,0.9957
23,0.191667,355.9644,352.5409,36.965171,36.609662,-0.003701,0.056170,0.9957
24,0.200000,355.9626,352.6249,36.964986,36.618388,-0.003885,0.064896,0.9960
25,0.208333,355.9626,352.6249,36.964986,36.618388,-0.003885,0.064896,0.9960
26,0.216667,355.9626,352.6249,36.964986,36.618388,-0.003885,0.064896,0.9960
27,0.225000,355.9626,352.6249,36.964986,36.618388,-0.003885,0.064896,0.9960
28,0.233333,355.9630,352.6237,36.965032,36.618259,-0.003840,0.064768,0.9957
29,0.241667,355.9630,352.6237,36.965032,36.618259,-0.003840,0.064768,0.9957
30,0.250000,355.9630,352.6237,36.965032,36.618259,-0.003840,0.064768,0.9957
31,0.258333,355.9630,352.6237,36.965032,36.618259,-0.003840,0.064768,0.9957
32,0.266667,355.9992,352.5696,36.968784,36.612638,-0.000088,0.059146,0.9955
33,0.275000,355.9992,352.5696,36.968784,36.612638,-0.000088,0.059146,0.9955
34,0.283333,355.9992,352.5696,36.968784,36.612638,-0.000088,0.059146,0.9955
35,0.291667,355.9992,352.5696,36.968784,36.612638,-0.000088,0.059146,0.9955
36,0.300000,355.9493,352.4970,36.963602,36.605103,-0.005270,0.051612,0.9954
37,0.308333,355.9493,352.4970,36.963602,36.605103,-0.005270,0.051612,0.9954
