# Strain Tracker Export
# generated: 2026-05-22T10:14:36.142Z
# fps: 120
# video_size_px: 1280x720
# calibration: 9.401099 px per mm
# calibration_points_px: (244.844,593.615) - (338.789,590.092)
# calibration_real_distance: 10 mm
# template_size_px: 40
# search_radius_px: 25
#
frame,time_s,x_px,y_px,x_mm,y_mm,dx_mm,dy_mm,match_score
52,0.433333,912.0000,592.0000,97.009939,62.971364,0.000000,0.000000,1.0000
53,0.441667,911.9995,592.1579,97.009890,62.988158,-0.000049,0.016795,1.0000
54,0.450000,911.9995,592.1579,97.009890,62.988158,-0.000049,0.016795,1.0000
55,0.458333,911.9995,592.1579,97.009890,62.988158,-0.000049,0.016795,1.0000
56,0.466667,911.0559,592.1646,96.909513,62.988875,-0.100426,0.017511,0.9996
57,0.475000,911.0559,592.1646,96.909513,62.988875,-0.100426,0.017511,0.9996
58,0.483333,911.0559,592.1646,96.909513,62.988875,-0.100426,0.017511,0.9996
59,0.491667,911.0559,592.1646,96.909513,62.988875,-0.100426,0.017511,0.9996
60,0.500000,910.2458,591.9510,96.823342,62.966148,-0.186597,-0.005216,0.9982
61,0.508333,910.2458,591.9510,96.823342,62.966148,-0.186597,-0.005216,0.9982
62,0.516667,910.2458,591.9510,96.823342,62.966148,-0.186597,-0.005216,0.9982
63,0.525000,910.2458,591.9510,96.823342,62.966148,-0.186597,-0.005216,0.9982
64,0.533333,909.3689,591.9572,96.730071,62.966814,-0.279867,-0.004550,0.9976
65,0.541667,909.3689,591.9572,96.730071,62.966814,-0.279867,-0.004550,0.9976
66,0.550000,909.3689,591.9572,96.730071,62.966814,-0.279867,-0.004550,0.9976
67,0.558333,909.3689,591.9572,96.730071,62.966814,-0.279867,-0.004550,0.9976
68,0.566667,908.4652,591.8669,96.633945,62.957207,-0.375994,-0.014157,0.9963
69,0.575000,908.4652,591.8669,96.633945,62.957207,-0.375994,-0.014157,0.9963
70,0.583333,908.4652,591.8669,96.633945,62.957207,-0.375994,-0.014157,0.9963
71,0.591667,908.4652,591.8669,96.633945,62.957207,-0.375994,-0.014157,0.9963
72,0.600000,907.7646,591.7558,96.559416,62.945387,-0.450523,-0.025977,0.9964
73,0.608333,907.7646,591.7558,96.559416,62.945387,-0.450523,-0.025977,0.9964
74,0.616667,907.7646,591.7558,96.559416,62.945387,-0.450523,-0.025977,0.9964
75,0.625000,907.7646,591.7558,96.559416,62.945387,-0.450523,-0.025977,0.9964
76,0.633333,907.0169,591.7382,96.479887,62.943520,-0.530052,-0.027843,0.9966
77,0.641667,907.0169,591.7382,96.479887,62.943520,-0.530052,-0.027843,0.9966
78,0.650000,907.0169,591.7382,96.479887,62.943520,-0.530052,-0.027843,0.9966
79,0.658333,907.0169,591.7382,96.479887,62.943520,-0.530052,-0.027843,0.9966
80,0.666667,905.6631,591.5260,96.335878,62.920942,-0.674061,-0.050422,0.9941
81,0.675000,905.6631,591.5260,96.335878,62.920942,-0.674061,-0.050422,0.9941
82,0.683333,905.6631,591.5260,96.335878,62.920942,-0.674061,-0.050422,0.9941
83,0.691667,905.6631,591.5260,96.335878,62.920942,-0.674061,-0.050422,0.9941
84,0.700000,904.6451,591.4842,96.227599,62.916494,-0.782340,-0.054870,0.9941
85,0.708333,904.6451,591.4842,96.227599,62.916494,-0.782340,-0.054870,0.9941
86,0.716667,904.6451,591.4842,96.227599,62.916494,-0.782340,-0.054870,0.9941
87,0.725000,904.6451,591.4842,96.227599,62.916494,-0.782340,-0.054870,0.9941
88,0.733333,903.8628,591.4441,96.144379,62.912229,-0.865560,-0.059135,0.9951
89,0.741667,903.8628,591.4441,96.144379,62.912229,-0.865560,-0.059135,0.9951
90,0.750000,903.8628,591.4441,96.144379,62.912229,-0.865560,-0.059135,0.9951
91,0.758333,903.8628,591.4441,96.144379,62.912229,-0.865560,-0.059135,0.9951
92,0.766667,902.4075,591.4178,95.989582,62.909438,-1.020357,-0.061926,0.9945
93,0.775000,902.4075,591.4178,95.989582,62.909438,-1.020357,-0.061926,0.9945
94,0.783333,902.4075,591.4178,95.989582,62.909438,-1.020357,-0.061926,0.9945
95,0.791667,902.4075,591.4178,95.989582,62.909438,-1.020357,-0.061926,0.9945
96,0.800000,901.1334,591.3861,95.854054,62.906061,-1.155885,-0.065303,0.9957
97,0.808333,901.1334,591.3861,95.854054,62.906061,-1.155885,-0.065303,0.9957
98,0.816667,901.1334,591.3861,95.854054,62.906061,-1.155885,-0.065303,0.9957
99,0.825000,901.1334,591.3861,95.854054,62.906061,-1.155885,-0.065303,0.9957
100,0.833333,899.4419,591.3734,95.674122,62.904714,-1.335816,-0.066650,0.9948
101,0.841667,899.4419,591.3734,95.674122,62.904714,-1.335816,-0.066650,0.9948
102,0.850000,899.4419,591.3734,95.674122,62.904714,-1.335816,-0.066650,0.9948
103,0.858333,899.4419,591.3734,95.674122,62.904714,-1.335816,-0.066650,0.9948
104,0.866667,897.8063,591.3479,95.500145,62.902005,-1.509794,-0.069359,0.9959
105,0.875000,897.8063,591.3479,95.500145,62.902005,-1.509794,-0.069359,0.9959
106,0.883333,897.8063,591.3479,95.500145,62.902005,-1.509794,-0.069359,0.9959
107,0.891667,897.8063,591.3479,95.500145,62.902005,-1.509794,-0.069359,0.9959
108,0.900000,896.9370,591.2760,95.407675,62.894356,-1.602264,-0.077008,0.9968
109,0.908333,896.9370,591.2760,95.407675,62.894356,-1.602264,-0.077008,0.9968
110,0.916667,896.9370,591.2760,95.407675,62.894356,-1.602264,-0.077008,0.9968
111,0.925000,896.9370,591.2760,95.407675,62.894356,-1.602264,-0.077008,0.9968
112,0.933333,896.2901,591.2802,95.338868,62.894798,-1.671071,-0.076565,0.9962
113,0.941667,896.2901,591.2802,95.338868,62.894798,-1.671071,-0.076565,0.9962
114,0.950000,896.2901,591.2802,95.338868,62.894798,-1.671071,-0.076565,0.9962
115,0.958333,896.2901,591.2802,95.338868,62.894798,-1.671071,-0.076565,0.9962
116,0.966667,895.4101,591.1409,95.245264,62.879981,-1.764675,-0.091382,0.9962
117,0.975000,895.4101,591.1409,95.245264,62.879981,-1.764675,-0.091382,0.9962
118,0.983333,895.4101,591.1409,95.245264,62.879981,-1.764675,-0.091382,0.9962
119,0.991667,895.4101,591.1409,95.245264,62.879981,-1.764675,-0.091382,0.9962
120,1.000000,893.6270,591.0157,95.055595,62.866665,-1.954344,-0.104699,0.9966
121,1.008333,893.6270,591.0157,95.055595,62.866665,-1.954344,-0.104699,0.9966
122,1.016667,893.6270,591.0157,95.055595,62.866665,-1.954344,-0.104699,0.9966
123,1.025000,893.6270,591.0157,95.055595,62.866665,-1.954344,-0.104699,0.9966
124,1.033333,892.4181,591.0799,94.927001,62.873488,-2.082938,-0.097876,0.9964
125,1.041667,892.4181,591.0799,94.927001,62.873488,-2.082938,-0.097876,0.9964
126,1.050000,892.4181,591.0799,94.927001,62.873488,-2.082938,-0.097876,0.9964
127,1.058333,892.4181,591.0799,94.927001,62.873488,-2.082938,-0.097876,0.9964
128,1.066667,891.5437,590.9023,94.833987,62.854598,-2.175952,-0.116765,0.9959
129,1.075000,891.5437,590.9023,94.833987,62.854598,-2.175952,-0.116765,0.9959
130,1.083333,891.5437,590.9023,94.833987,62.854598,-2.175952,-0.116765,0.9959
131,1.091667,891.5437,590.9023,94.833987,62.854598,-2.175952,-0.116765,0.9959
